t=2026-03-13T18:26:38+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-13T18:26:38+0100 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-13T18:26:38+0100 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=a345d288affb l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=d48f484c889a l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:28+0100 lvl=info msg="join connections" obj=join id=f575be7f8ee0 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:29+0100 lvl=info msg="join connections" obj=join id=ae54c1d50aa8 l=[::1]:3000 r=176.133.235.172:54714
t=2026-03-14T01:04:30+0100 lvl=info msg="join connections" obj=join id=4ba5f9d8176f l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:31+0100 lvl=info msg="join connections" obj=join id=623beffb3442 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=817fad1de183 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=4872bc33841b l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=fb1bdca8d492 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=a6ee409e8b1e l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=8df14f54aa42 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=41c5d05fd47a l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=a3d0038042e1 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=2feb5c1944e7 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=e5afaf64d3e6 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=05871c2340fa l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=5d7e7f9abb33 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=5df2344c40aa l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=0da9de275a67 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=70cd22cf8d30 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=a40c21f32979 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=77b642dfc7ac l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=036f59b5d266 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=36d7c8c334b0 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=cb56b3a16939 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=2dc2e323923d l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=d9c84ce3cf19 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=372edfab16a8 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=0d12a155f962 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=99cfb2408923 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=4f2b07242c7a l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=c72eaacc5ca4 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=72671607d0fe l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=8424a4c152ca l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=91c3c03859a8 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=c52549f5b88f l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=cc0ccae4eff1 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=c873397504cf l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=1affd38c6676 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:33+0100 lvl=info msg="join connections" obj=join id=49f7b525d4ef l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:34+0100 lvl=info msg="join connections" obj=join id=a5e1a14472b9 l=[::1]:3000 r=176.133.235.172:54597
