t=2026-02-17T07:33:23+0100 lvl=info msg="no configuration paths supplied"
t=2026-02-17T07:33:23+0100 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-02-17T07:33:23+0100 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-02-17T07:33:23+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-17T07:33:23+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-17T07:33:23+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-17T07:33:23+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-17T07:51:50+0100 lvl=info msg="join connections" obj=join id=3748baed267b l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63730
t=2026-02-17T07:51:50+0100 lvl=info msg="join connections" obj=join id=bcbf8efbf233 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63730
t=2026-02-17T07:51:50+0100 lvl=info msg="join connections" obj=join id=8b1892dc489a l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63730
t=2026-02-17T07:51:50+0100 lvl=info msg="join connections" obj=join id=2b231d2ed82d l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63730
t=2026-02-17T07:51:50+0100 lvl=info msg="join connections" obj=join id=18a80166a2e0 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63730
t=2026-02-17T07:51:51+0100 lvl=info msg="join connections" obj=join id=e00818fb6189 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63738
t=2026-02-17T07:51:54+0100 lvl=info msg="join connections" obj=join id=439810d6e797 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63750
t=2026-02-17T07:51:54+0100 lvl=info msg="join connections" obj=join id=c164b67f6025 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63750
t=2026-02-17T07:51:54+0100 lvl=info msg="join connections" obj=join id=9dabff9acba7 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63750
t=2026-02-17T07:51:54+0100 lvl=info msg="join connections" obj=join id=82e768345f7b l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63750
t=2026-02-17T07:51:55+0100 lvl=info msg="join connections" obj=join id=74992cde80e4 l=[::1]:3000 r=[2001:861:47c0:7420:5026:1485:4e8b:431a]:63755
